Lv0	Lv1	Lv2	Combined	Displayed	Population	Population by Lv0	Date of Data	Notes
奈及利亞	奧約州		奈及利亞奧約州	奈及利亞奧約州	7702563		2022-01-26	
奈及利亞	河流州		奈及利亞河流州	奈及利亞河流州	7691642		2022-01-26	
奈及利亞	包奇州		奈及利亞包奇州	奈及利亞包奇州	7508594		2022-01-26	
奈及利亞	吉加瓦州		奈及利亞吉加瓦州	奈及利亞吉加瓦州	6592145		2022-01-26	
奈及利亞	博爾諾州		奈及利亞博爾諾州	奈及利亞博爾諾州	6438354		2022-01-26	
奈及利亞	貝努埃州		奈及利亞貝努埃州	奈及利亞貝努埃州	6308309		2022-01-26	
奈及利亞	三角州		奈及利亞三角州	奈及利亞三角州	6222115		2022-01-26	
奈及利亞	尼日州		奈及利亞尼日州	奈及利亞尼日州	6104432		2022-01-26	
奈及利亞	阿南布拉州		奈及利亞阿南布拉州	奈及利亞阿南布拉州	6073188		2022-01-26	
奈及利亞	阿夸伊博姆州		奈及利亞阿夸伊博姆州	奈及利亞阿夸伊博姆州	6023054		2022-01-26	
奈及利亞	伊莫州		奈及利亞伊莫州	奈及利亞伊莫州	5942390		2022-01-26	
奈及利亞	奧貢州		奈及利亞奧貢州	奈及利亞奧貢州	5732501		2022-01-26	
奈及利亞	索科托州		奈及利亞索科托州	奈及利亞索科托州	5491206		2022-01-26	
奈及利亞	奧孫州		奈及利亞奧孫州	奈及利亞奧孫州	5169847		2022-01-26	
奈及利亞	翁多州		奈及利亞翁多州	奈及利亞翁多州	5132609		2022-01-26	
奈及利亞	扎姆法拉州		奈及利亞扎姆法拉州	奈及利亞扎姆法拉州	4960924		2022-01-26	
奈及利亞	科吉州		奈及利亞科吉州	奈及利亞科吉州	4914849		2022-01-26	
奈及利亞	凱比州		奈及利亞凱比州	奈及利亞凱比州	4878110		2022-01-26	
奈及利亞	埃努古州		奈及利亞埃努古州	奈及利亞埃努古州	4846325		2022-01-26	
奈及利亞	阿達馬瓦		奈及利亞阿達馬瓦	奈及利亞阿達馬瓦	4667591		2022-01-26	
奈及利亞	埃多州		奈及利亞埃多州	奈及利亞埃多州	4653483		2022-01-26	
